com.samsung.shealth.tracker.pedometer_day_summary,6190043,5,,,,,,,,,,,,,,,,
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
6858,b9563deb-c77d-4d4b-9703-01f1e6cd8938.binning_data.json,3511044,10000,5,24:19.0,com.sec.android.app.shealth,19:43.4,b9563deb-c77d-4d4b-9703-01f1e6cd8938.source_info.json,1.4078916,4943.1704,217.89998,6853,VfS0qUERdZ,com.sec.android.app.shealth,0,b9563deb-c77d-4d4b-9703-01f1e6cd8938.achievement.json,b9563deb-c77d-4d4b-9703-01f1e6cd8938,1.62432E+12
9416,68337579-b55f-49aa-bf61-f9ddebab6b6f.binning_data.json,4814839,10000,54,00:02.3,com.sec.android.app.shealth,00:02.3,,1.4122547,6799.7803,301.04996,9362,EIy+BrLOSY,com.sec.android.app.shealth,0,68337579-b55f-49aa-bf61-f9ddebab6b6f.achievement.json,68337579-b55f-49aa-bf61-f9ddebab6b6f,1.62501E+12
5640,dcf0a596-216f-4b49-88b7-54482b5212c4.binning_data.json,2905246,10000,113,00:01.3,com.sec.android.app.shealth,00:01.3,,1.4228704,4133.79,182.12999,5527,EIy+BrLOSY,com.sec.android.app.shealth,0,dcf0a596-216f-4b49-88b7-54482b5212c4.achievement.json,dcf0a596-216f-4b49-88b7-54482b5212c4,1.62536E+12
5938,0201ef0f-4ff8-426e-a1ae-54c431410178.binning_data.json,2873075,10000,192,00:01.4,com.sec.android.app.shealth,00:01.4,,1.5330507,4404.5703,196.38997,5746,EIy+BrLOSY,com.sec.android.app.shealth,0,0201ef0f-4ff8-426e-a1ae-54c431410178.achievement.json,0201ef0f-4ff8-426e-a1ae-54c431410178,1.62492E+12
4073,83a8db96-1555-4c15-8e65-4555dbb1380b.binning_data.json,2167547,10000,14,00:01.5,com.sec.android.app.shealth,00:01.5,,1.3328289,2888.97,135.4,4059,EIy+BrLOSY,com.sec.android.app.shealth,0,83a8db96-1555-4c15-8e65-4555dbb1380b.achievement.json,83a8db96-1555-4c15-8e65-4555dbb1380b,1.62527E+12
3188,def2ec78-3fab-4f1a-8d66-15ccc0e756ba.binning_data.json,1688890,10000,211,00:01.5,com.sec.android.app.shealth,00:01.5,,1.427547,2410.97,112.979996,2977,EIy+BrLOSY,com.sec.android.app.shealth,0,def2ec78-3fab-4f1a-8d66-15ccc0e756ba.achievement.json,def2ec78-3fab-4f1a-8d66-15ccc0e756ba,1.62562E+12
3110,939edc66-8953-47c9-bdd3-087156a8b31c.binning_data.json,1611350,10000,22,51:07.7,com.sec.android.app.shealth,51:42.7,939edc66-8953-47c9-bdd3-087156a8b31c.source_info.json,1.3933468,2245.17,103.49998,3088,VfS0qUERdZ,com.sec.android.app.shealth,0,939edc66-8953-47c9-bdd3-087156a8b31c.achievement.json,939edc66-8953-47c9-bdd3-087156a8b31c,1.62467E+12
474,ec2d714d-981b-42ce-9791-92fac6333b32.binning_data.json,264794,10000,0,00:27.7,com.sec.android.app.shealth,15:37.0,ec2d714d-981b-42ce-9791-92fac6333b32.source_info.json,1.2977588,343.63998,15.629999,474,VfS0qUERdZ,com.sec.android.app.shealth,0,ec2d714d-981b-42ce-9791-92fac6333b32.achievement.json,ec2d714d-981b-42ce-9791-92fac6333b32,1.62458E+12
4013,1e353093-f17b-44b3-9f59-543973d59ac7.binning_data.json,2107847,10000,0,00:02.1,com.sec.android.app.shealth,47:45.5,1e353093-f17b-44b3-9f59-543973d59ac7.source_info.json,1.3591399,2864.86,132.93999,4013,VfS0qUERdZ,com.sec.android.app.shealth,0,1e353093-f17b-44b3-9f59-543973d59ac7.achievement.json,1e353093-f17b-44b3-9f59-543973d59ac7,1.62423E+12
7746,51bd5427-cb1d-4c7e-ae30-32479597c82c.binning_data.json,3722610,10000,301,00:01.6,com.sec.android.app.shealth,00:01.6,,1.5473013,5760,260.79,7445,EIy+BrLOSY,com.sec.android.app.shealth,0,51bd5427-cb1d-4c7e-ae30-32479597c82c.achievement.json,51bd5427-cb1d-4c7e-ae30-32479597c82c,1.62518E+12
921,2949bafe-2b2d-4f5d-a72e-017b7a7c0ab6.binning_data.json,480034,10000,77,00:01.3,com.sec.android.app.shealth,00:01.3,,1.4377307,690.16003,34.429996,844,EIy+BrLOSY,com.sec.android.app.shealth,0,2949bafe-2b2d-4f5d-a72e-017b7a7c0ab6.achievement.json,2949bafe-2b2d-4f5d-a72e-017b7a7c0ab6,1.62553E+12
3129,f72a29d8-ba69-4ff2-9b28-78cba6c6a409.binning_data.json,1551066,10000,21,00:01.2,com.sec.android.app.shealth,00:01.2,,1.4507949,2250.28,100.41,3108,EIy+BrLOSY,com.sec.android.app.shealth,0,f72a29d8-ba69-4ff2-9b28-78cba6c6a409.achievement.json,f72a29d8-ba69-4ff2-9b28-78cba6c6a409,1.62579E+12
5938,cfa309fe-1556-4d34-8523-16ac491306b9.binning_data.json,2873075,10000,192,33:50.3,com.sec.android.app.shealth,21:49.3,cfa309fe-1556-4d34-8523-16ac491306b9.source_info.json,1.5330507,4404.5703,196.38997,5746,VfS0qUERdZ,com.sec.android.app.shealth,0,cfa309fe-1556-4d34-8523-16ac491306b9.achievement.json,cfa309fe-1556-4d34-8523-16ac491306b9,1.62492E+12
